Date,GDP_new,EMP_CAN,MANU_N_ORD_new,CRED_T_cb
1993-11-01,13.92391443001153,9.462957284988793,17.077220636201208,12.787106002539648
1993-12-01,13.924113047740331,9.460974568952224,17.087230490087887,12.791389596531365
1994-01-01,13.930575001150165,9.46159702081011,17.09241828173991,12.787270988355436
1994-02-01,13.935208142812275,9.464168305421387,17.09494052687129,12.79241382177231
1994-03-01,13.94277920132523,9.467197190575014,17.121665930527794,12.804870684340752
1994-04-01,13.944860370456114,9.46813266241866,17.16420493137388,12.828491521037641
1994-05-01,13.951495337572242,9.473658027975347,17.172631906460463,12.839432666004697
1994-06-01,13.957862793067486,9.47589185953997,17.183212167679983,12.848933918854543
1994-07-01,13.95706754480443,9.480252998816386,17.1910101278259,12.851116176215813
1994-08-01,13.965107060393272,9.481527141898766,17.230476483369593,12.852117736321036
1994-09-01,13.968261285744363,9.486220575535656,17.22730838913966,12.86056215439924
1994-10-01,13.969048894633437,9.485605674412875,17.231213884495187,12.86759757139411
1994-11-01,13.973208921883254,9.492446930094777,17.259678536247137,12.875761826051926
1994-12-01,13.979378989973787,9.491435800033155,17.27436382970455,12.882836346839595
1995-01-01,13.98068519464796,9.49322344764125,17.310415047318198,12.874337820566039
1995-02-01,13.980669655349578,9.49268070269543,17.302324836447042,12.883197145784488
1995-03-01,13.97796080830369,9.494804773271976,17.29298918185039,12.890640629802181
1995-04-01,13.979519022353937,9.493178230145087,17.295115526603052,12.894965790497826
1995-05-01,13.980793968061931,9.492944573837375,17.290917328065916,12.901187888184817
1995-06-01,13.98254943981957,9.493878871675081,17.280097206874665,12.90336123859067
1995-07-01,13.982922826625739,9.494059602732698,17.291359989933262,12.905022955317069
1995-08-01,13.985293497989453,9.495353886993684,17.31003615663944,12.911400341499286
1995-09-01,13.98354284095849,9.497862431626599,17.298518284109107,12.922765439665133
1995-10-01,13.98230123424619,9.499046919474152,17.295526236476412,12.92350259860996
1995-11-01,13.986035708272192,9.496646498248033,17.291705449357597,12.929062568599335
1995-12-01,13.984100525708794,9.499780897442827,17.30213110051274,12.936178367075652
1996-01-01,13.98833852288393,9.50110518788787,17.321459559945108,12.93630846028521
1996-02-01,13.987180059187184,9.50296520881712,17.29313646245664,12.947921891140842
1996-03-01,13.984643611688279,9.50130704421918,17.275261241269,12.965807808147202
1996-04-01,13.988600653131652,9.503315909288936,17.287599673798642,12.971184610399453
1996-05-01,13.991528039096297,9.504918611115805,17.33749345591587,12.985564939508794
1996-06-01,13.992434594317313,9.503972209420635,17.336866078416925,12.98958141817015
1996-07-01,13.99607027780124,9.506020375539025,17.354157035519933,12.988543943299842
1996-08-01,14.000608384020483,9.507224970992713,17.33329586141865,13.002894922226071
1996-09-01,14.001477479833913,9.504084035806558,17.345655852470976,13.024920324642741
1996-10-01,14.006474736972656,9.503964753883594,17.309904523723826,13.021707333899236
1996-11-01,14.011554942077096,9.506102214992383,17.339278813788383,13.03394300825128
1996-12-01,14.00617180599318,9.50790099052645,17.351195591555914,13.041673793885053
1997-01-01,14.01469332883363,9.51310069411186,17.40685074720873,13.048040612953624
1997-02-01,14.020966603534795,9.513263211656724,17.3777563183943,13.058816364559913
1997-03-01,14.020863999509697,9.515602014326788,17.384533265268338,13.077844976249558
1997-04-01,14.027612575279658,9.515705179280271,17.399961589664255,13.092069104770728
1997-05-01,14.031154054046654,9.520556631732545,17.4314537685669,13.101374646965844
1997-06-01,14.03304641551278,9.524420918282495,17.37149795789045,13.116894450045713
1997-07-01,14.043743536146298,9.527447742612607,17.450643711529594,13.119234487529694
1997-08-01,14.044999534418267,9.532344157823346,17.396691404100444,13.146134590026339
1997-09-01,14.046738145230774,9.533582619826515,17.423981072766722,13.175397855052127
1997-10-01,14.050603233292223,9.534819549938543,17.428190107204372,13.174488925372772
1997-11-01,14.051403686898977,9.5367261970571,17.454208625607663,13.182036958889945
1997-12-01,14.060450042736933,9.537836731381455,17.390129396659205,13.19182227361822
1998-01-01,14.056049920947592,9.537108533135166,17.406732501948408,13.191669266562803
1998-02-01,14.065810026903717,9.540686740867406,17.426837170862953,13.19654277557858
1998-03-01,14.069592154102294,9.543191775571835,17.42027177319828,13.205091092601458
1998-04-01,14.069718573558339,9.545211327230422,17.424662940003184,13.197839983979108
1998-05-01,14.067477884172046,9.546333922616968,17.416261311114564,13.206048060411794
1998-06-01,14.066642747418472,9.54722680851905,17.386347192680955,13.210451174845536
1998-07-01,14.06609572039547,9.551359399118496,17.370748927723483,13.206715555189021
1998-08-01,14.075461913707475,9.554050636474484,17.430942913806923,13.22551906421242
1998-09-01,14.078060958953442,9.55681244317573,17.44564239789277,13.207869288415177
1998-10-01,14.081580256515918,9.5581339934686,17.46168643077494,13.183082112439035
1998-11-01,14.08357240648337,9.560919775800068,17.4629624696675,13.184191980027261
1998-12-01,14.091621441682179,9.560997243589352,17.457279431618044,13.184921188229714
1999-01-01,14.099638572226684,9.566145938115527,17.508708598545425,13.17683830502476
1999-02-01,14.10383567361945,9.565445083745397,17.551762481316718,13.17747826021187
1999-03-01,14.104196875992626,9.566524195334944,17.53858491988744,13.190492943016643
1999-04-01,14.109237075893843,9.569174982156035,17.525677198635485,13.195262476307988
1999-05-01,14.110725437451539,9.571693356799258,17.519341824545243,13.20518130750631
1999-06-01,14.116972746981746,9.573106725551233,17.542223152420522,13.201416672693899
1999-07-01,14.12093578551329,9.577127019885355,17.583723052612964,13.202722342755441
1999-08-01,14.126182086140751,9.578574253256743,17.60325031455136,13.206976547660318
1999-09-01,14.133244757554802,9.580150668207907,17.632760601260838,13.215636939254965
1999-10-01,14.136140102102134,9.58291720797094,17.6115964903981,13.209395754173462
1999-11-01,14.145569415622608,9.585305034635963,17.615940308953785,13.210302823604472
1999-12-01,14.150814254966068,9.589550480936827,17.67082783766198,13.219252310321869
2000-01-01,14.151386902791518,9.592379897805289,17.649485099226123,13.222225001834131
2000-02-01,14.152718238366115,9.5937098258101,17.613479635960914,13.275510124888683
2000-03-01,14.162915669458267,9.59543269027641,17.664480423862503,13.277294895155435
2000-04-01,14.162145974071906,9.597145799375802,17.6169189133575,13.285102782595551
2000-05-01,14.16954060725082,9.598075902534937,17.64222756051629,13.287977810882236
2000-06-01,14.173382884753956,9.598781389078551,17.68279016102611,13.296652762501019
2000-07-01,14.177351137007177,9.59902548004433,17.69740875359882,13.29925186845606
2000-08-01,14.182476665755118,9.600373686761264,17.666841990584818,13.303662745274483
2000-09-01,14.18365378898834,9.603206444507832,17.658768930142855,13.313226682705896
2000-10-01,14.185791222877702,9.604764754967368,17.710344473829224,13.314455380886466
2000-11-01,14.186269652973383,9.607195184316314,17.695127885443004,13.320768235066451
2000-12-01,14.18739268433762,9.610457873757753,17.681349468472703,13.319737736824576
2001-01-01,14.186061878120503,9.608740582362225,17.632347863840106,13.325178499212601
2001-02-01,14.184449293255456,9.608035370819918,17.676353441547985,13.325493591224523
2001-03-01,14.185027884364267,9.60835781494919,17.627380045539237,13.329567772597018
2001-04-01,14.18490002864616,9.610612017372993,17.64857067750144,13.333928152667925
2001-05-01,14.188202443111669,9.612212365907462,17.683957906020233,13.344416734672905
2001-06-01,14.187689786900505,9.610625420042805,17.624819188059615,13.344059481672305
2001-07-01,14.18616335495367,9.612219056548927,17.639410383123966,13.352329998546653
2001-08-01,14.189949287467316,9.612366239336835,17.62596323367438,13.35954552487833
2001-09-01,14.18515641471661,9.613990500671898,17.60063096312601,13.371074865418032
2001-10-01,14.189566179036412,9.614264293065517,17.54959033571164,13.375913526819398
2001-11-01,14.194880119830705,9.615158604238607,17.59176158252372,13.377476802572007
2001-12-01,14.192768902747549,9.613509513034694,17.56451488551181,13.380280846438955
2002-01-01,14.203874267171638,9.617097977782551,17.589324504669086,13.377552732892802
2002-02-01,14.20917025562261,9.618621511343829,17.635457440384286,13.37601906280261
2002-03-01,14.208021454751098,9.623806717969833,17.635057419910748,13.389764168023122
2002-04-01,14.21493478999928,9.626930038753864,17.67256320107969,13.396306501245506
2002-05-01,14.216260567445467,9.630510167618963,17.655565248231504,13.40097342318088
2002-06-01,14.217298915099997,9.634581436743693,17.65158707142719,13.402656720299094
2002-07-01,14.221069661654715,9.637188557157975,17.65974004382391,13.417059295235083
2002-08-01,14.224711346388512,9.642570740004471,17.689733207454086,13.428849048877918
2002-09-01,14.222380012849069,9.642460393744285,17.659461510678845,13.423458590139443
2002-10-01,14.228284888504847,9.643362279655218,17.65859163346507,13.425958168316159
2002-11-01,14.227798338620412,9.64647693171034,17.668571762073388,13.430199485989206
2002-12-01,14.22477178502024,9.650187582943477,17.633923297914677,13.441240291695506
2003-01-01,14.229665136368308,9.651442857675478,17.615529942200077,13.436988698595533
2003-02-01,14.23247858641408,9.655128752080854,17.672434340903134,13.449425765656827
2003-03-01,14.231334494337263,9.655647794875089,17.65828140114967,13.465673610121723
2003-04-01,14.228161783967098,9.654590200770826,17.62621464723505,13.462904467858465
2003-05-01,14.231168871719564,9.653409502481713,17.636494055274028,13.471867472149434
2003-06-01,14.233302049762806,9.656761865573731,17.617821616196036,13.471059172433613
